text,label
"Breaking: Shocking news about elections!",Fake
"Government launches new policy for students.",Real
"Unbelievable cure for diabetes found!",Fake
"Stock market sees an all-time high.",Real
"Clickbait! You won't believe what happened!",Fake
"New research shows promising results in cancer treatment.",Real
"Hoax alert: Viral video of alien sighting debunked.",Fake
"Local community celebrates annual festival.",Real
"Rumor: Celebrity couple splits after 5 years.",Fake
"Scientists discover new species in Amazon rainforest.",Real 